Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-01-02 00:00:00-05:00,21.854999542236328,21.940000534057617,20.760000228881836,21.100000381469727,21.100000381469727,49626300,0.0,0.0,2024-09-20,ytd,5d
2024-01-12 00:00:00-05:00,18.44499969482422,18.864999771118164,17.780000686645508,18.059999465942383,18.059999465942383,29689400,0.0,0.0,2024-09-20,ytd,5d
2024-01-17 00:00:00-05:00,17.049999237060547,17.15999984741211,16.280000686645508,16.760000228881836,16.760000228881836,45224100,0.0,0.0,2024-09-20,ytd,5d
2024-01-22 00:00:00-05:00,15.539999961853027,16.809999465942383,15.420000076293945,16.030000686645508,16.030000686645508,35812400,0.0,0.0,2024-09-20,ytd,5d
2024-02-01 00:00:00-05:00,15.539999961853027,15.760000228881836,14.970000267028809,15.529999732971191,15.529999732971191,24103600,0.0,0.0,2024-09-20,ytd,5d
2024-02-06 00:00:00-05:00,15.029999732971191,15.529999732971191,14.734999656677246,15.5,15.5,27700700,0.0,0.0,2024-09-20,ytd,5d
2024-02-16 00:00:00-05:00,16.200000762939453,16.729999542236328,16.065000534057617,16.299999237060547,16.299999237060547,25266800,0.0,0.0,2024-09-20,ytd,5d
2024-02-21 00:00:00-05:00,15.699999809265137,16.094999313354492,15.180000305175781,15.390000343322754,15.390000343322754,52421000,0.0,0.0,2024-09-20,ytd,5d
2024-02-26 00:00:00-05:00,10.210000038146973,10.920000076293945,10.050000190734863,10.699999809265137,10.699999809265137,71793300,0.0,0.0,2024-09-20,ytd,5d
2024-03-07 00:00:00-05:00,11.579999923706055,12.739999771118164,11.045000076293945,12.510000228881836,12.510000228881836,151938500,0.0,0.0,2024-09-20,ytd,5d
2024-03-12 00:00:00-04:00,12.75,12.880000114440918,11.970000267028809,12.369999885559082,12.369999885559082,39465900,0.0,0.0,2024-09-20,ytd,5d
2024-03-22 00:00:00-04:00,11.020000457763672,11.069999694824219,10.710000038146973,10.800000190734863,10.800000190734863,29050300,0.0,0.0,2024-09-20,ytd,5d
2024-03-27 00:00:00-04:00,10.640000343322754,11.069999694824219,10.479999542236328,10.989999771118164,10.989999771118164,34816200,0.0,0.0,2024-09-20,ytd,5d
