"Name","Estimated Wealth"
" **   ** Mark Warner (D-Va)","$214092575"
" **   ** Greg Gianforte (R-Mont)","$189334335"
" **   ** Paul Mitchell (R-Mich)","$179610071"
" **   ** Vernon Buchanan (R-Fla)","$157169056"
" **   ** Chris Collins (R-NY)","$154497026"
" **   ** Don Beyer (D-Va)","$124901516"
" **   ** Nancy Pelosi (D-Calif)","$114662521"
" **   ** Dianne Feinstein (D-Calif)","$87938540"
" **   ** Suzan DelBene (D-Wash)","$79361042"
" **   ** Fred Upton (R-Mich)","$78965614"
